Fight_Number,Fighter,Fighter_Record,Weight_Class,Card_Position,UFC325_Opponent,Fight_Index,Year,Fight_Date,Opponent,Result,Method,Method_Detail,Round,Time,Event,Win_Rate,Most_Common_Method,Avg_Rounds,Current_Streak,Finish_Rate,Decision_Rate,Total_KO_TKO,Total_Submissions,Total_Decisions,Total_NC,Wins_by_KO_TKO,Wins_by_Submission,Wins_by_Decision,Losses_by_KO_TKO,Losses_by_Submission,Losses_by_Decision
10,Kaan Ofli,9-1-0,Featherweight,Early Prelims,Yi Zha,4,2023,"Aug 26, 2023",Shin Min-chul,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
10,Kaan Ofli,9-1-0,Featherweight,Early Prelims,Yi Zha,5,2023,"Feb 04, 2023",Yang Jun,Loss,Submission,Guillotine Choke,2,3:30,Regional,80.0,Decision,2.2,4W (W-W-W-W-L),50.0,50.0,2,1,2,0,2,0,2,0,1,0
10,Yi Zha,16-5-0,Featherweight,Early Prelims,Kaan Ofli,1,2024,"Sep 07, 2024",Namiki Kawahara,Win,TKO,Punches,2,2:45,Road to UFC,80.0,TKO,2.0,4W (W-W-W-W-L),75.0,25.0,3,0,2,0,3,0,1,0,0,1
10,Yi Zha,16-5-0,Featherweight,Early Prelims,Kaan Ofli,2,2024,"Jun 08, 2024",Kyungpyo Kim,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,TKO,2.0,4W (W-W-W-W-L),75.0,25.0,3,0,2,0,3,0,1,0,0,1
10,Yi Zha,16-5-0,Featherweight,Early Prelims,Kaan Ofli,3,2024,"Feb 24, 2024",Keisuke Saka,Win,KO,Head Kick,1,1:58,Road to UFC,80.0,TKO,2.0,4W (W-W-W-W-L),75.0,25.0,3,0,2,0,3,0,1,0,0,1
10,Yi Zha,16-5-0,Featherweight,Early Prelims,Kaan Ofli,4,2023,"Aug 26, 2023",Lee Jung-hyun,Win,TKO,Punches,1,4:15,Road to UFC,80.0,TKO,2.0,4W (W-W-W-W-L),75.0,25.0,3,0,2,0,3,0,1,0,0,1
10,Yi Zha,16-5-0,Featherweight,Early Prelims,Kaan Ofli,5,2023,"May 06, 2023",Wang Cong,Loss,Decision,Split,3,5:00,Regional,80.0,TKO,2.0,4W (W-W-W-W-L),75.0,25.0,3,0,2,0,3,0,1,0,0,1
11,Kim Sang-wook,9-2-0,Lightweight,Early Prelims,Anshul Jubli,1,2024,"Sep 07, 2024",Rinya Nakamura,Win,TKO,Punches,2,3:30,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,1,1,2,1,0,0
11,Kim Sang-wook,9-2-0,Lightweight,Early Prelims,Anshul Jubli,2,2024,"Jun 08, 2024",Toshiomi Kazama,Win,Submission,Rear Naked Choke,2,2:45,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,1,1,2,1,0,0
11,Kim Sang-wook,9-2-0,Lightweight,Early Prelims,Anshul Jubli,3,2024,"Feb 24, 2024",Tatsuro Taira,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,1,1,2,1,0,0
11,Kim Sang-wook,9-2-0,Lightweight,Early Prelims,Anshul Jubli,4,2023,"Aug 26, 2023",Lee Chang-ho,Loss,TKO,Punches,1,2:15,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,1,1,2,1,0,0
11,Kim Sang-wook,9-2-0,Lightweight,Early Prelims,Anshul Jubli,5,2023,"Apr 15, 2023",Park Jun-yong,Win,Decision,Unanimous,3,5:00,Regional,80.0,Decision,2.2,3W (W-W-W-L-W),50.0,50.0,2,1,2,0,1,1,2,1,0,0
11,Anshul Jubli,7-0-0,Lightweight,Early Prelims,Kim Sang-wook,1,2024,"Sep 07, 2024",Ho Taek Oh,Win,KO,Punches,1,1:45,Road to UFC,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,3,1,1,0,3,1,1,0,0,0
11,Anshul Jubli,7-0-0,Lightweight,Early Prelims,Kim Sang-wook,2,2024,"Jun 08, 2024",Jeka Saragih,Win,Submission,Guillotine Choke,2,3:15,Road to UFC,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,3,1,1,0,3,1,1,0,0,0
11,Anshul Jubli,7-0-0,Lightweight,Early Prelims,Kim Sang-wook,3,2024,"Feb 24, 2024",Shohei Nose,Win,TKO,Punches,1,2:30,Road to UFC,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,3,1,1,0,3,1,1,0,0,0
11,Anshul Jubli,7-0-0,Lightweight,Early Prelims,Kim Sang-wook,4,2023,"Aug 26, 2023",Kazuki Takahashi,Win,Decision,Unanimous,3,5:00,Road to UFC,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,3,1,1,0,3,1,1,0,0,0
11,Anshul Jubli,7-0-0,Lightweight,Early Prelims,Kim Sang-wook,5,2023,"Apr 01, 2023",Max Henning,Win,TKO,Punches,2,4:15,Regional,100.0,TKO,1.8,5W (W-W-W-W-W),80.0,20.0,3,1,1,0,3,1,1,0,0,0
12,Keiichiro Yamamiya,10-4-0,Featherweight,Early Prelims,Rei Shimizu,1,2024,"Sep 07, 2024",Chen Wenbin,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
12,Keiichiro Yamamiya,10-4-0,Featherweight,Early Prelims,Rei Shimizu,2,2024,"Jun 08, 2024",Joshua Culibao,Win,TKO,Punches,2,3:45,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
12,Keiichiro Yamamiya,10-4-0,Featherweight,Early Prelims,Rei Shimizu,3,2024,"Feb 24, 2024",Nguyen Quang Hai,Win,KO,Punches,1,2:15,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
12,Keiichiro Yamamiya,10-4-0,Featherweight,Early Prelims,Rei Shimizu,4,2023,"Aug 26, 2023",Bao Yincang,Loss,Decision,Split,3,5:00,Road to UFC,80.0,Decision,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
12,Keiichiro Yamamiya,10-4-0,Featherweight,Early Prelims,Rei Shimizu,5,2023,"May 13, 2023",Yuki Takahashi,Win,Submission,Armbar,2,3:30,Regional,80.0,Decision,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
12,Rei Shimizu,12-2-0,Featherweight,Early Prelims,Keiichiro Yamamiya,1,2024,"Sep 07, 2024",Hoyoung Kim,Win,TKO,Punches,1,3:15,Road to UFC,80.0,TKO,2.2,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,3,0,1,0,1,0
12,Rei Shimizu,12-2-0,Featherweight,Early Prelims,Keiichiro Yamamiya,2,2024,"Jun 08, 2024",Chu Jutao,Win,KO,Spinning Back Fist,2,1:58,Road to UFC,80.0,TKO,2.2,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,3,0,1,0,1,0
12,Rei Shimizu,12-2-0,Featherweight,Early Prelims,Keiichiro Yamamiya,3,2024,"Feb 24, 2024",Keiya Yamamoto,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,TKO,2.2,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,3,0,1,0,1,0
12,Rei Shimizu,12-2-0,Featherweight,Early Prelims,Keiichiro Yamamiya,4,2023,"Aug 26, 2023",Park Hyun-sung,Win,TKO,Punches,2,4:30,Road to UFC,80.0,TKO,2.2,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,3,0,1,0,1,0
12,Rei Shimizu,12-2-0,Featherweight,Early Prelims,Keiichiro Yamamiya,5,2023,"Apr 08, 2023",Adam Soldiera,Loss,Submission,Rear Naked Choke,3,2:45,Regional,80.0,TKO,2.2,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,3,0,1,0,1,0
13,Shi Ming,17-8-0,Bantamweight,Early Prelims,Xie Bin,1,2024,"Sep 07, 2024",Kiru Singh Sahota,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
13,Shi Ming,17-8-0,Bantamweight,Early Prelims,Xie Bin,2,2024,"Jun 08, 2024",Stewart Nicoll,Win,TKO,Punches,1,2:30,Road to UFC,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
13,Shi Ming,17-8-0,Bantamweight,Early Prelims,Xie Bin,3,2024,"Feb 24, 2024",Niklas Stolze,Win,Submission,Guillotine Choke,2,3:45,Road to UFC,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
13,Shi Ming,17-8-0,Bantamweight,Early Prelims,Xie Bin,4,2023,"Aug 26, 2023",Song Kenan,Loss,Decision,Split,3,5:00,Road to UFC,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
13,Shi Ming,17-8-0,Bantamweight,Early Prelims,Xie Bin,5,2023,"Apr 22, 2023",Lee Min-hyuk,Win,TKO,Punches,2,4:15,Regional,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0,2,1,2,0,2,1,1,0,0,1
13,Xie Bin,8-1-0,Bantamweight,Early Prelims,Shi Ming,1,2024,"Sep 07, 2024",Yuki Yamasaki,Win,KO,Punches,2,2:15,Road to UFC,80.0,KO,1.8,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,2,1,1,1,0,0
13,Xie Bin,8-1-0,Bantamweight,Early Prelims,Shi Ming,2,2024,"Jun 08, 2024",Wei Zhuo Zhang,Win,TKO,Punches,1,3:45,Road to UFC,80.0,KO,1.8,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,2,1,1,1,0,0
13,Xie Bin,8-1-0,Bantamweight,Early Prelims,Shi Ming,3,2024,"Feb 24, 2024",Renchuang Yang,Win,Submission,Rear Naked Choke,2,4:30,Road to UFC,80.0,KO,1.8,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,2,1,1,1,0,0
13,Xie Bin,8-1-0,Bantamweight,Early Prelims,Shi Ming,4,2023,"Aug 26, 2023",Li Kai Wen,Win,Decision,Unanimous,3,5:00,Road to UFC,80.0,KO,1.8,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,2,1,1,1,0,0
13,Xie Bin,8-1-0,Bantamweight,Early Prelims,Shi Ming,5,2023,"May 20, 2023",Chen Wei,Loss,TKO,Punches,1,2:45,Regional,80.0,KO,1.8,4W (W-W-W-W-L),75.0,25.0,3,1,1,0,2,1,1,1,0,0
