Fighter,Fighter_Record,Weight_Class,Card_Position,UFC324_Opponent,Fight_Date,Opponent,Result,Method,Method_Detail,Round,Time,Event,Win_Rate,Most_Common_Method,Avg_Rounds,Current_Streak,Finish_Rate,Decision_Rate
Adam Fugitt,10-5-0,Welterweight,Early Prelims,Ty Miller,"Oct 08, 2022",Francisco Prado,Win,Decision,Unanimous,3,5:00,UFC Vegas 61,60.0,Submission,2.2,1L (L-W-L-W-W),66.66666666666666,33.33333333333333
Ty Miller,"6-0-0, 1NC",Welterweight,Early Prelims,Adam Fugitt,"Sep 28, 2024",Jason Witt,Win,TKO,Punches,2,2:30,UFC Fight Night,80.0,TKO,2.0,1W (W-N-W-W-W),50.0,50.0
Ty Miller,"6-0-0, 1NC",Welterweight,Early Prelims,Adam Fugitt,"Jun 22, 2024",David Onama,NC,NC,Accidental Eye Poke,1,1:45,UFC Fight Night,80.0,TKO,2.0,1W (W-N-W-W-W),50.0,50.0
Ty Miller,"6-0-0, 1NC",Welterweight,Early Prelims,Adam Fugitt,"Feb 24, 2024",Phil Rowe,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,TKO,2.0,1W (W-N-W-W-W),50.0,50.0
Ty Miller,"6-0-0, 1NC",Welterweight,Early Prelims,Adam Fugitt,"Sep 09, 2023",Abubakar Nurmagomedov,Win,TKO,Punches,1,2:15,UFC Fight Night,80.0,TKO,2.0,1W (W-N-W-W-W),50.0,50.0
Ty Miller,"6-0-0, 1NC",Welterweight,Early Prelims,Adam Fugitt,"Apr 08, 2023",Matthew Semelsberger,Win,Decision,Split,3,5:00,UFC 287,80.0,TKO,2.0,1W (W-N-W-W-W),50.0,50.0
Ricky Turcios,13-5-0,Bantamweight,Early Prelims (CANCELLED),Cameron Smotherman,"May 18, 2024",Raul Rosas Jr.,Loss,Decision,Unanimous,3,5:00,UFC Fight Night,60.0,Decision,2.8,1L (L-W-L-W-W),33.33333333333333,66.66666666666666
Ricky Turcios,13-5-0,Bantamweight,Early Prelims (CANCELLED),Cameron Smotherman,"Nov 04, 2023",Kevin Natividad,Win,TKO,Punches,2,3:30,UFC Vegas 82,60.0,Decision,2.8,1L (L-W-L-W-W),33.33333333333333,66.66666666666666
Ricky Turcios,13-5-0,Bantamweight,Early Prelims (CANCELLED),Cameron Smotherman,"Jun 10, 2023",Cody Stamann,Loss,Decision,Split,3,5:00,UFC Vegas 75,60.0,Decision,2.8,1L (L-W-L-W-W),33.33333333333333,66.66666666666666
Ricky Turcios,13-5-0,Bantamweight,Early Prelims (CANCELLED),Cameron Smotherman,"Dec 03, 2022",Danny Chavez,Win,Decision,Unanimous,3,5:00,UFC Vegas 66,60.0,Decision,2.8,1L (L-W-L-W-W),33.33333333333333,66.66666666666666
Ricky Turcios,13-5-0,Bantamweight,Early Prelims (CANCELLED),Cameron Smotherman,"Jun 04, 2022",Aiemann Zahabi,Win,Decision,Unanimous,3,5:00,UFC 275,60.0,Decision,2.8,1L (L-W-L-W-W),33.33333333333333,66.66666666666666
Cameron Smotherman,12-6-0,Bantamweight,Early Prelims (CANCELLED),Ricky Turcios,"Aug 10, 2024",Davey Grant,Win,TKO,Punches,2,3:15,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0
Cameron Smotherman,12-6-0,Bantamweight,Early Prelims (CANCELLED),Ricky Turcios,"Apr 13, 2024",Mana Martinez,Win,Submission,Rear Naked Choke,1,2:45,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0
Cameron Smotherman,12-6-0,Bantamweight,Early Prelims (CANCELLED),Ricky Turcios,"Nov 18, 2023",Louis Smolka,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0
Cameron Smotherman,12-6-0,Bantamweight,Early Prelims (CANCELLED),Ricky Turcios,"Jun 03, 2023",Edgar Chairez,Loss,Decision,Split,3,5:00,UFC Fight Night,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0
Cameron Smotherman,12-6-0,Bantamweight,Early Prelims (CANCELLED),Ricky Turcios,"Jan 28, 2023",Marcus McGhee,Win,TKO,Punches,2,2:30,Contender Series,80.0,TKO,2.2,3W (W-W-W-L-W),75.0,25.0
